restaurant_id,name
2921,Chow Mong Local Kitchen at The Peri Hotel (Hua Hin)
1296,Chowpati Indian Street Food Bangkok
4685,Chu Grill Shabu
4525,Chuan Boy Malatang & Malaxiangguo MBK Center
1771,Chuan Kitchen CentralWorld
3517,Chunloy Cuisine & Bar
6634,Chy Bar Rooftop at Away Bangkok Riverside Kene
3673,CiTi BiSTRo Pathumwan Princess Hotel
3934,Cielo Sky Bar & Restaurant Rooftop
5220,Clique & Cloud 
4168,Cloud kafe  
3538,Clover Sky Bar & Restaurant at Hotel Clover Asok
6262,Club Rangoon
6737,Club TGA
6698,CoCo Chaophraya
3346,Coach House Cafe
4666,Coast Beach Club & Bistro at Centara Grand Beach Resort & Villas (Hua Hin)
4143,Coco Lima BKK
3125,Cocobee Chimaek Lasalle
5203,Coding Steak & Restaurant
4768,Coffee & Crumble Eatery at Maitria Residence Rama 9 Bangkok
6222,Coffee House | Ayutthaya
4270,Coffee@Sea Springfield at Sea Resort & Spa (Hua Hin)
5200,Cold Spring Cafe
3989,Colonnade The Sukhothai Bangkok
5412,"Colony At The Ritz-Carlton, Millenia Singapore"
5347,Com Nieu An La Ghien
4216,Com’on bar
4522,Cook Chom Chuan Chim
5855,Copacabana Rooftop diner (Chiang Mai)
5046,Copper Aquarium
6098,Copper Chimney -  Syed Alwi Road Singapore
6706,Copper Chimney - Mandai Wildlife West
5826,Coriander Leaf @ Craig
5827,Coriander Leaf @ Singapore Polo Club
6468,Cozy Craft Room
5980,Cozy Space Homey Cafe & Dining
6125,Crab Wang Imperial Dining At Hotel Boss
6200,Craftfiti BKK
945,Crave (Aloft Bangkok - Sukhumvit 11)
2830,Cross Pratamnak Staycation (Pattaya)
2539,Cross Vibe Bangkok Sukhumvit Staycation
5547,Crossroads Buffet at Singapore Marriott Tang Plaza Hotel
5549,Crossroads Cafe at Singapore Marriott Tang Plaza Hotel
3119,Crystal Grill 82nd floor at Baiyoke Sky Hotel
4129,Cuisine Unplugged at Pullman Bangkok King Power
3453,D Varee Jomtien Beach Staycation (Pattaya) 
5336,D'Tapas by El Tapeo
5324,D'tales Eatery
6268,DAKJIB
5832,DE VIVA 
5837,"DID - Dine in the Dark at Sheraton Grande Sukhumvit, a Luxury Collection Hotel , Bangkok"
4893,DIMM 
6199,DOTD BAR
4579,Dailyfish Omakase (Chonburi)
4074,Dakshin Indian Restobar
3559,Dardfaah 
4511,Dark Waters Rooftop Bar & Riverside
6560,De Prime Rangnam
6760,De.Wan 1958 By Chef Wan BSC
6759,De.Wan 1958 By Chef Wan Bangi Resort Hotel
6743,De.Wan 1958 By Chef Wan The Linc
3596,Deja Brew Lifestyle Cafe at Centara Life Hotel Bangkok Phra Nakhon
5116,Dekjammam
5120,Demijoe (Ratchaburi)
4941,De’yong café and restaurant
1923,Dibuka Cafe & Restaurant (Phuket)
3366,Dicey Reilly's at Avani Resort (Pattaya)
6014,Dimsum House Phutthamonthon Sai 4
4791,Din Restaurant & Jazz Bar
6396,Dino Mookrata Rama 3
3339,Divalux Resort and Spa Staycation
3588,Diwan Restaurant at Al Meroz Hotel Bangkok
6867,Do Nua - La Villa Ari
6864,Do Nua The Avenue Ratchayothin
4845,Dok Toh Dim Sum Bon Marché Market Park
4846,Dok Toh Dim Sum Chan Road
4847,Dok Toh Dim Sum Chokchai 4
4848,Dok Toh Dim Sum Yaowarat
5588,Dolcetto at Conrad Singapore Orchard
5346,Dolphin Restaurant at Bay Beach Resort Jomtien (Pattaya)
2049,Don Giovanni Centara Grand at Central Plaza Ladprao Bangkok
5707,Dose Factory (Udon Thani)
6791,Double U Cafe’&Bar
5962,Dough Bros Gaysorn Amarin
5961,Dough Bros Interchange 21
5963,Dough Bros Summer Point
5115,Dragon Boat Rama 9
6009,Dragon view bar and restaurant (Krabi)
5763,Dragster Caffe
6186,Dream Premium Korean BBQ Buffet Ruea-bin - 드림 코리안 비비큐
6187,Dream Premium Korean BBQ Buffet Talat Long Ma Si Er - 드림 코리안 비비큐
6191,Dream Premium Korean Shabu Buffet 드림 샤브샤브
5332,Dulce Casa de Pan
5757,Durian Paradise Buffet at Phenix Pratunam
6251,Durianism Cafe and NiTO Japanese restaurant Ayutthaya
4519,Dusit Gourmet at Baan Dusit Thani
4026,Dusit Gourmet at dusitD2 Samyan Bangkok
2239,Dynasty Centara Grand Central Ladprao
5517,E-Cha Korean Craft Dining Bangsaen (Chonburi)
5516,E-Cha Korean Craft Dining Ratchathewi
4081,EAT at OZO North Pattaya (Pattaya)
5051,EKKA Indian Grill and Bar
6306,EKKAR (Ang Thong)
5879,ESAN Zaap Jueng
4910,Earthy Society
2531,Earw Thai Express Fashion Island
1242,Earw Thai Suki Boran Central Plaza Rama 3
1244,Earw Thai Suki Boran Central Plaza WestGate
1259,Earw Thai Suki Boran K Village
3761,Earw Thai Suki Boran Kaset
1245,Earw Thai Suki Boran Mega Bangna
1246,Earw Thai Suki Boran Seacon Square Srinagarindra
3762,Earw Thai Suki Boran Terminal 21 (Nakhon Ratchasima)
1184,Earw Thai Suki Boran The Crystal SB Ratchapruek
6015,East & West Bangsaen (Chonburi)
5068,East Ocean Chinese Restaurant at SC Park Hotel
4455,Eastern Elixir Social Lounge & Bar at Valia Hotel Bangkok
6547,Eat Drink Love Srinakarin
4054,Eat Drink Love Suvarnabhumi
6493,Eatter A-Han Khon Muang 
6555,Eazy To Eat
6851,Ebisu Shoten Latphrao
5465,Edge at Pan Pacific Hotel Singapore
5892,Ekkaluck @ Madi Paidi Bangkok
6095,El Santo Restaurant and Bar
5339,El Tapeo
4458,Elbasha Turkish & Lebanese Restaurant
5089,Elder and Better 
6277,Eldivino Thai (Phuket) 
6490,Element At Amara Bangkok
6432,Element Restaurant At Amara Singapore Hotel
6472,Elementi Rooftop Restaurant and Bar (Rayong)
4746,"Elements, Inspired by Ciel Bleu at The Okura Prestige Bangkok "
5406,Embassy Room La Marina at Park Hyatt Bangkok
4528,Embers 
6653,En Hachi
6023,Enjoy Eating Cafe
5462,Enjoy Eating House and Bar
6324,Epia Ari
6323,Epia Asiatique
6358,Epia Sukhumvit
5986,Epicurean Fusion Restaurant
6726,ErZab Hotpot Bangna
3319,Era-Izaan Ratchaphruek
4316,Era-Izaan Surawong
4315,Era-Izaan Thonglor
5205,Erzab Chaewhon Ladprao
5360,Erzab Chaewhon Onnut
6223,Esan Kampang Kitchen Chinnakhet
6224,Esan Kampang Kitchen Sri Racha (Chonburi)
4849,Esanlongbok
4750,Escape Bangkok Emquartier
6245,Escape Pool Club At Centara Karon Resort (Phuket)
5689,Est.33 at Crystal Design Center (CDC)
5690,Est.33 at The Nine Center Rama 9
6481,Evan's Kitch - Modern Asian Cafe @ Nicoll Highway
6240,Everbean Pizzeria (Phuket)
5357,Evoke Bistro and Bar 
6758,Evolution Renaissance Kuala Lumpur Hotel
5831,FARMSBUY Cafe
6030,FLNT
4413,FLOW at Millennium Hilton Bangkok
6598,FOC by the Beach
6821,FUKU In Sky 
6643,Fafa Halal Bangkok 
6578,Fafu Grill Shabu Halal
6577,Fafu Mala Halal
5079,Fahprapha At Kalanan Riverside Resort
5799,Fairy Garden BKK
5271,Fak Marum Khubon
5270,Fak Marum Liap Duan Ram Inthra
5268,Fak Marum Pathum Thani
5272,Fak Marum Phutthamonthon Sai 4
5269,Fak Marum Town In Town
1656,Fallabella River Front Iconsiam
6834,Famust.cnx (Chiang Mai)
2823,Fat Belly (Pattaya)
2118,Fat Lamb BKK
6033,Fat Prince
6343,Fatboy Izakaya Ekkamai
6344,Fatboy Izakaya Gaysorn Amarin
4263,Feast At Royal Orchid Sheraton Riverside Hotel Bangkok
5822,Feed the beast 
